abbrev:keyword,airport:text,region:text,city:keyword,city_location:geo_point,city_boundary:geo_shape
ABJ,Abidjan Port Bouet,Abidjan,Abidjan,POINT(-4.0333 5.3167),"POLYGON((-4.294078799999999 5.306993999485561\,-4.2519341 5.299366999486064\,-4.2166565 5.220870899491318\,-3.9779943 5.255339899488996\,-3.8548011 5.226902199490908\,-3.8440239 5.254102199489078\,-3.819618 5.250741999489303\,-3.808644599999999 5.289343299486728\,-3.787924999999999 5.272831899487826\,-3.730700199999999 5.273708299487767\,-3.717741099999999 5.294531799486385\,-3.7846693 5.36340679948187\,-3.827391700000001 5.374660299481141\,-3.813537099999999 5.427534799477752\,-3.826112800000001 5.432406099477444\,-3.830445999999999 5.48536399947411\,-3.846184 5.508868199472652\,-3.868387 5.503974899472954\,-3.8966441 5.554590199469845\,-3.921921 5.565268999469195\,-3.9356461 5.636326799464937\,-3.985271 5.605298999466783\,-4.2578802 5.605796799466753\,-4.2438839 5.490020399473822\,-4.2596757 5.486167299474062\,-4.2725247 5.449713999476349\,-4.294078799999999 5.306993999485561))"
ABQ,Albuquerque Int'l,Albuquerque,Albuquerque,POINT(-106.6465 35.1054),"POLYGON((-106.70014499999999 35.066036999656205\,-106.68379500000002 35.08353499965742\,-106.68406399999999 35.08071299965722\,-106.687185 35.07942199965715\,-106.687766 35.07647799965692\,-106.68207399999999 35.06526599965614\,-106.686756 35.063799999656034\,-106.68043199999998 35.06196159965591\,-106.686255 35.07391499965674\,-106.67931699999998 35.07479499965681\,-106.680042 35.0818209996573\,-106.683978 35.085741999657586\,-106.662768 35.06864499965637\,-106.65945300000001 35.03919699965434\,-106.639617 35.05099899965515\,-106.638959 35.014409999652635\,-106.622183 35.014467999652645\,-106.621867 35.00002399965167\,-106.656836 34.99310099965121\,-106.66582349999999 34.94708709964814\,-106.5691392 34.947190099648154\,-106.5688897 35.011003799652414\,-106.60975949999998 35.03203949965384\,-106.5705153 35.04224869965456\,-106.58310639999999 35.05133849965519\,-106.5503344 35.0673223996563\,-106.5328315 35.06724349965628\,-106.53290629999998 35.04683689965487\,-106.4799546 35.04256329965457\,-106.4803129 35.18808869966496\,-106.60018009999999 35.20405129966615\,-106.613181 35.15130099966226\,-106.62425899999998 35.155502999662566\,-106.62727799999999 35.150846999662235\,-106.61570199999998 35.14850199966207\,-106.6243297 35.12416579966031\,-106.629911 35.144552999661784\,-106.63777899999998 35.14939799966212\,-106.65666 35.152408999662335\,-106.64719699999999 35.14564799966186\,-106.64292799999998 35.1447889996618\,-106.674795 35.14475999966179\,-106.68154399999999 35.105881999659005\,-106.6964359 35.12519139966038\,-106.642494 35.20729699966638\,-106.66273629999999 35.21811499966719\,-106.72802139999999 35.2181899996672\,-106.730091 35.20327199966609\,-106.75766800000001 35.19922099966578\,-106.745612 35.18004299966436\,-106.871735 35.179528999664335\,-106.86528899999999 35.14502499966181\,-106.8821501 35.12478889966035\,-106.72638539999998 35.12470609966034\,-106.7765571 35.09625689965832\,-106.7639831 35.07646989965693\,-106.7449451 35.077911899657025\,-106.76114709999999 35.02953489965368\,-106.7143761 35.02738989965354\,-106.71655069999998 35.01171889965246\,-106.7115378 34.99662669965143\,-106.7018 35.01186699965247\,-106.715959 35.01200199965248\,-106.710043 35.026363999653455\,-106.72727039999998 35.03841829965428\,-106.706465 35.055892999655484\,-106.71270200000001 35.065785999656185\,-106.715182 35.0589489996557\,-106.720896 35.05841999965567\,-106.721761 35.064318999656074\,-106.71740499999999 35.07081399965653\,-106.70014499999999 35.066036999656205)\,(-106.78040099999998 35.13115699966081\,-106.78027699999998 35.13126599966082\,-106.78027799999998 35.13115699966081\,-106.78040099999998 35.13115699966081)\,(-106.74524 35.068798999656394\,-106.74505099999999 35.06912699965641\,-106.74483 35.0688849996564\,-106.74524 35.068798999656394)\,(-106.74295199999999 35.07650199965693\,-106.74220799999999 35.082177999657326\,-106.741224 35.07649599965693\,-106.74295199999999 35.07650199965693)\,(-106.74135399999999 35.08505299965753\,-106.734759 35.090477999657914\,-106.73181599999998 35.08553199965756\,-106.74135399999999 35.08505299965753)\,(-106.727256 35.057823999655625\,-106.72694999999999 35.063987999656064\,-106.72628899999998 35.057886999655636\,-106.727256 35.057823999655625)\,(-106.72571799999999 35.05793599965563\,-106.725531 35.06083799965582\,-106.72527799999999 35.057970999655645\,-106.72571799999999 35.05793599965563)\,(-106.72456 35.05804499965564\,-106.72286 35.06111199965586\,-106.72245999999998 35.05823999965565\,-106.72456 35.05804499965564)\,(-106.719727 35.192765999665305\,-106.69147099999999 35.20353299966611\,-106.68364799999999 35.188445999664985\,-106.69958799999999 35.197120999665636\,-106.719727 35.192765999665305)\,(-106.68109299999999 35.1573549996627\,-106.67748599999999 35.1737199996639\,-106.67409100000002 35.1737149996639\,-106.68109299999999 35.1573549996627)\,(-106.677734 35.10427799965889\,-106.68989 35.105746999659\,-106.680686 35.10508599965895\,-106.677734 35.10427799965889)\,(-106.689415 35.10213399965874\,-106.685758 35.10240099965876\,-106.68579799999999 35.10192399965872\,-106.689415 35.10213399965874)\,(-106.68689899999998 35.099734999658565\,-106.68579500000001 35.10118099965867\,-106.685128 35.09975299965856\,-106.68689899999998 35.099734999658565)\,(-106.68565299999999 35.1029209996588\,-106.68737899999999 35.10373699965886\,-106.68538699999999 35.10364099965885\,-106.68565299999999 35.1029209996588)\,(-106.68716399999998 35.07545099965685\,-106.686554 35.07685799965696\,-106.686715 35.07547999965686\,-106.68716399999998 35.07545099965685)\,(-106.685019 35.07730299965698\,-106.68647399999999 35.07793799965704\,-106.684959 35.07770299965701\,-106.685019 35.07730299965698)\,(-106.686074 35.07852499965707\,-106.686917 35.078919999657096\,-106.68600099999999 35.07866399965708\,-106.686074 35.07852499965707)\,(-106.68460899999998 35.07815299965705\,-106.68546599999999 35.079089999657114\,-106.68443299999998 35.0788959996571\,-106.68460899999998 35.07815299965705)\,(-106.68531699999998 35.103934999658854\,-106.685767 35.104281999658895\,-106.68514299999998 35.10426299965889\,-106.68531699999998 35.103934999658854)\,(-106.68411299999998 35.0789409996571\,-106.684757 35.07990899965717\,-106.68407899999998 35.07904399965712\,-106.68411299999998 35.0789409996571)\,(-106.68446899999999 35.07569199965686\,-106.68461499999998 35.07643299965693\,-106.68398699999999 35.076261999656914\,-106.68446899999999 35.07569199965686)\,(-106.68324899999999 35.07674499965696\,-106.68464199999998 35.07764799965702\,-106.683198 35.07689099965696\,-106.68324899999999 35.07674499965696)\,(-106.684282 35.098176999658456\,-106.683317 35.09926399965853\,-106.68365899999999 35.0974159996584\,-106.684282 35.098176999658456)\,(-106.68257099999998 35.0819729996573\,-106.68390399999998 35.08070299965722\,-106.683755 35.081984999657315\,-106.68257099999998 35.0819729996573)\,(-106.68373 35.077938999657036\,-106.68394599999999 35.07853599965706\,-106.68368999999998 35.078735999657084\,-106.68373 35.077938999657036)\,(-106.671127 35.19304399966533\,-106.680017 35.20006699966585\,-106.670645 35.19649799966558\,-106.671127 35.19304399966533)\,(-106.68335 35.082564999657365\,-106.683583 35.0831899996574\,-106.683228 35.0831669996574\,-106.68335 35.082564999657365)\,(-106.68145699999998 35.075854999656876\,-106.68318599999999 35.07664599965694\,-106.681299 35.07646899965693\,-106.68145699999998 35.075854999656876)\,(-106.68246499999998 35.08253799965735\,-106.68314499999998 35.08258499965735\,-106.68298699999998 35.083269999657404\,-106.68246499999998 35.08253799965735)\,(-106.68231599999999 35.116598999659765\,-106.68299399999998 35.1171539996598\,-106.68218799999998 35.11694399965979\,-106.68231599999999 35.116598999659765)\,(-106.68174999999998 35.07448799965679\,-106.68219399999998 35.07479299965681\,-106.681689 35.07472699965681\,-106.68174999999998 35.07448799965679)\,(-106.68178899999998 35.07486099965681\,-106.68204699999998 35.07511399965683\,-106.681735 35.07508799965683\,-106.68178899999998 35.07486099965681)\,(-106.671456 35.06826199965635\,-106.671356 35.068587999656366\,-106.67127199999999 35.06822399965635\,-106.671456 35.06826199965635)\,(-106.67081899999998 35.06816599965635\,-106.670675 35.06872499965639\,-106.67048399999999 35.068266999656345\,-106.67081899999998 35.06816599965635)\,(-106.6689135 35.13737699966126\,-106.6697202 35.13786529966129\,-106.6688621 35.13758719966127\,-106.6689135 35.13737699966126)\,(-106.65934949999999 35.13473069966107\,-106.663073 35.14223999966161\,-106.659014 35.13485799966108\,-106.65934949999999 35.13473069966107)\,(-106.650568 35.13989499966144\,-106.65395499999998 35.14286399966165\,-106.648502 35.14190599966158\,-106.650568 35.13989499966144)\,(-106.65147799999998 35.14973599966215\,-106.65164499999999 35.14980399966216\,-106.65147599999999 35.14980399966216\,-106.65147799999998 35.14973599966215)\,(-106.65117299999999 35.14933799966213\,-106.65082399999999 35.149643999662146\,-106.65092699999998 35.1491359996621\,-106.65117299999999 35.14933799966213)\,(-106.650003 35.149030999662095\,-106.650305 35.149473999662135\,-106.64988299999999 35.14938099966212\,-106.650003 35.149030999662095)\,(-106.64866000000002 35.14822799966205\,-106.64932499999999 35.14934599966213\,-106.64778699999998 35.14904699966212\,-106.64866000000002 35.14822799966205)\,(-106.647994 35.14802899966204\,-106.647512 35.148579999662076\,-106.64764299999999 35.14791999966203\,-106.647994 35.14802899966204)\,(-106.646293 35.147555999662\,-106.64597399999998 35.148744999662085\,-106.646141 35.147538999662\,-106.646293 35.147555999662)\,(-106.64507999999998 35.147478999661985\,-106.64544299999999 35.14797899966202\,-106.645085 35.147937999662034\,-106.64507999999998 35.147478999661985)\,(-106.64489999999999 35.14680099966194\,-106.64437599999998 35.14737199966198\,-106.64417699999998 35.14713899966197\,-106.64489999999999 35.14680099966194)\,(-106.64428900000001 35.14804399966203\,-106.64464 35.14869699966207\,-106.644129 35.148596999662075\,-106.64428900000001 35.14804399966203)\,(-106.643517 35.147198999661974\,-106.64285400000001 35.147672999662\,-106.64273399999999 35.14726999966197\,-106.643517 35.147198999661974)\,(-106.64146899999999 35.148163999662046\,-106.642336 35.14885199966209\,-106.64138499999999 35.14864199966208\,-106.64146899999999 35.148163999662046)\,(-106.64230199999999 35.14730999966197\,-106.64171699999999 35.147938999662024\,-106.64105099999999 35.14783799966201\,-106.64230199999999 35.14730999966197)\,(-106.63982800000001 35.14706599966196\,-106.64036199999998 35.147536999661995\,-106.63973899999999 35.14742499966198\,-106.63982800000001 35.14706599966196)\,(-106.63921179999998 35.11840409965989\,-106.6363885 35.12618059966045\,-106.6333191 35.12216519966015\,-106.62387669999998 35.121064499660086\,-106.63921179999998 35.11840409965989)\,(-106.6293138 35.123081199660234\,-106.63018199999999 35.125003999660365\,-106.628905 35.124755999660344\,-106.6293138 35.123081199660234)\,(-106.57244499999999 35.076547099656935\,-106.5773086 35.087168299657684\,-106.5732876 35.087146899657675\,-106.57244499999999 35.076547099656935)\,(-106.5686695 35.17164019966375\,-106.56617019999999 35.17420289966394\,-106.56614259999999 35.171794999663774\,-106.5686695 35.17164019966375)\,(-106.56659499999999 35.17134099966372\,-106.56715299999999 35.17163299966375\,-106.56653899999999 35.171418999663736\,-106.56659499999999 35.17134099966372)\,(-106.510398 35.05538899965545\,-106.50051499999998 35.06172299965589\,-106.500228 35.056685999655535\,-106.510398 35.05538899965545)\,(-106.497754 35.05885099965569\,-106.49597099999998 35.06159199965589\,-106.496629 35.0588349996557\,-106.497754 35.05885099965569)\,(-106.4925935 35.04564369965478\,-106.49768199999998 35.04637989965483\,-106.492575 35.04636819965484\,-106.4925935 35.04564369965478))"
ABV,Abuja Int'l,Municipal Area Council,Abuja,POINT(7.4833 9.0667),"POLYGON((7.097188499999999 8.94581889940015\,7.33149 8.821463599397545\,7.479329099999999 8.80651949939726\,7.485200399999998 8.77236079939663\,7.5230942 8.747810399396192\,7.481998 8.678426699395047\,7.429693699999998 8.638398199394441\,7.477623499999999 8.63133339939434\,7.591669099999998 8.834875099397808\,7.588679299999999 9.129055999404713\,7.6033192 9.16144079940561\,7.249756799999998 9.155721699405449\,7.191122499999998 9.048293099402596\,7.097188499999999 8.94581889940015))"
ACA,General Juan N Alvarez Int'l,Acapulco de Juárez,Acapulco de Juárez,POINT(-99.8825 16.8636),"POLYGON((-100.00215239999999 16.914014300126276\,-99.9229766 16.859789000120468\,-99.9155274 16.827660900117014\,-99.8940605 16.832790400117567\,-99.91106179999998 16.842633600118628\,-99.89554139999998 16.855180300119976\,-99.857904 16.852410700119673\,-99.85130199999999 16.836694600117987\,-99.8765217 16.8145461001156\,-99.83700649999999 16.805718300114645\,-99.85906009999998 16.79624410011362\,-99.8451277 16.78431170011233\,-99.81845219999998 16.78849060011278\,-99.7130872 16.719041600105243\,-99.6088695 16.683446200101358\,-99.6045533 16.715582700104864\,-99.6230276 16.748556500108453\,-99.59453029999999 16.774701400111287\,-99.595011 16.794550700113433\,-99.5566847 16.81503940011565\,-99.54317959999999 16.804285900114493\,-99.5168013 16.86928340012149\,-99.53368849999998 16.924749700127418\,-99.50263099999998 16.93026280012801\,-99.473636 16.97204430013245\,-99.4985835 16.995094600134887\,-99.5589648 16.968499400132067\,-99.61114419999998 16.9885565001342\,-99.608141 17.021707800137694\,-99.55856439999998 17.02295360013783\,-99.5702909 17.04812760014048\,-99.5436323 17.06299770014204\,-99.56452990000001 17.11680320014766\,-99.5554515 17.129639600149\,-99.59571910000001 17.135252600149588\,-99.59586559999998 17.166443700152822\,-99.6305067 17.162770100152443\,-99.6356561 17.20033900015632\,-99.63966269999999 17.184557000154694\,-99.66370639999998 17.196552000155933\,-99.6691069 17.229416800159314\,-99.72232609999999 17.23368270015975\,-99.72694399999999 17.176545400153863\,-99.84537179999998 17.16714300015289\,-99.8417762 17.10456820014639\,-99.8511102 17.124017300148413\,-99.8761733 17.12409790014842\,-99.8988309 17.104051000146328\,-99.88363380000001 17.059865500141715\,-99.8480062 17.042924900139926\,-99.8805432 16.972796800132528\,-99.92416319999998 16.943939900129465\,-99.89159269999999 16.929391800127913\,-99.88997839999999 16.911676000126022\,-99.93326299999998 16.908495200125685\,-99.9594596 16.928992300127874\,-99.96809619999999 16.900606600124842\,-100.00215239999999 16.914014300126276))"
ACC,Kotoka Int'l,Accra,Accra,POINT(-0.2 5.55),"POLYGON((-0.2841318 5.571950799468791\,-0.2720404 5.5405989994707\,-0.2819753 5.517190799472138\,-0.1227164 5.566056499469149\,-0.0548565 5.60768949946664\,-0.1142085 5.646634299464329\,-0.1407462 5.635973499464957\,-0.151534 5.659900099463548\,-0.190351 5.66736819946311\,-0.2670837 5.606888699466687\,-0.2841318 5.571950799468791))"
ACV,Arcata-Eureka,Humboldt County,McKinleyville,POINT(-124.0857 40.9488),"POLYGON((-124.48200299999998 40.44031800032516\,-124.42805499999999 40.361785000315145\,-124.42128699999999 40.23710200029894\,-124.231204 40.093382000279874\,-124.15376199999997 40.06354400027589\,-124.134889 40.00247000026764\,-123.54451069999998 40.00197950026757\,-123.54354019999997 40.73759250036179\,-123.56610359999998 40.7890174003679\,-123.55374229999998 40.79620300036875\,-123.5635533 40.84197660037412\,-123.587635 40.85862560037605\,-123.58010000000002 40.867644900377094\,-123.6103103 40.878528900378356\,-123.5972886 40.88435330037901\,-123.6237672 40.92929900038418\,-123.5873767 40.928040200384025\,-123.55937280000002 40.950335000386566\,-123.48148650000002 40.914807000382524\,-123.40575040000002 41.013405100393655\,-123.42349510000001 41.05821530039861\,-123.4638268 41.07614780040058\,-123.4640189 41.095122500402645\,-123.4395907 41.09239000040235\,-123.432526 41.16276910040992\,-123.40810770000002 41.180090500411765\,-123.454143 41.23626480041767\,-123.44308750000002 41.27301490042147\,-123.4614771 41.28259720042246\,-123.45957089999999 41.31010830042527\,-123.47862509999999 41.32963570042723\,-123.47429409999998 41.366301600430916\,-123.499261 41.38241350043252\,-123.77036259999998 41.380776200432344\,-123.7707616 41.464099400440475\,-124.136561 41.46445200044051\,-124.13997300000001 41.38182100043245\,-124.206515 41.38471800043275\,-124.24242000000001 41.34330000042862\,-124.220032 41.30299400042453\,-124.160704 41.289293000423136\,-124.19553199999997 41.18458200041224\,-124.23762500000001 41.16595900041027\,-124.25247400000002 41.13407500040686\,-124.227079 41.04662200039733\,-124.18269399999997 41.001313000392294\,-124.19761899999999 40.95052900038658\,-124.23262200000002 40.86928600037728\,-124.403367 40.613170000346734\,-124.48200299999998 40.44031800032516))"
ADA,Şakirpaşa,Adana,Adana,POINT(35.3213 37.0),"POLYGON((34.7392967 36.57399999979718\,34.817701099999994 36.53699999979294\,34.9100915 36.52299999979135\,35.1507789 36.40799999977845\,35.402576 36.26304139976267\,35.9650416 36.670966099808446\,36.000372199999994 36.73391349981588\,36.0070408 36.9306381998397\,36.0199461 36.94154789984105\,35.9854555 36.945200299841495\,35.9843527 36.96702569984421\,36.0575643 37.008210899849345\,36.06455869999999 37.05693739985544\,36.0950968 37.06103689985596\,36.099166 37.08453609985893\,36.07734729999999 37.11551199986287\,36.0961582 37.154980399867895\,36.0676844 37.16572259986928\,36.0795077 37.19605559987317\,35.99158359999999 37.21877929987609\,35.88056819999999 37.17569699987055\,35.91695109999999 37.24317739987926\,35.90341939999999 37.28462079988465\,35.9202763 37.34568259989265\,35.91406769999999 37.3840285998977\,35.9414396 37.440117799905146\,35.9203142 37.4744116999097\,35.947188999999995 37.48859679991161\,35.9716379 37.56631309992207\,36.0694029 37.640867899932196\,36.1465721 37.732700099944765\,36.2672972 37.75566319994793\,36.2555254 37.78981509995264\,36.2923058 37.90664399996889\,36.2353572 37.94660379997449\,36.2013033 37.94303329997398\,36.2337968 38.02158069998503\,36.2544033 38.02603369998565\,36.26540399999999 38.053263299989496\,36.3321715 38.067573899991515\,36.3492538 38.05350269998954\,36.3480314 38.1224514999993\,36.362670699999995 38.14116660000196\,36.35169849999999 38.148410800003\,36.3889127 38.18621140000837\,36.3940737 38.21310830001221\,36.3807227 38.21080060001188\,36.3788353 38.25718890001851\,36.3977408 38.24308890001649\,36.409578399999994 38.26287940001932\,36.40912829999999 38.281030800021924\,36.3562944 38.299936400024635\,36.3672658 38.33586080002979\,36.387846399999994 38.348622800031606\,36.37470439999999 38.3783800000359\,36.291951899999994 38.384090000036714\,36.2807964 38.40460190003967\,36.17951939999999 38.383661700036654\,36.1846264 38.34899970003166\,36.143609399999995 38.32308310002795\,36.1395169 38.34357920003089\,36.12406169999999 38.340703300030476\,35.9903569 38.223430000013686\,36.00038330000001 38.19503360000963\,36.02091810000001 38.189748100008885\,35.9923739 38.16963310000601\,35.96352639999999 38.109204399997424\,35.937341399999994 38.09551059999548\,35.91980939999999 38.109851699997506\,35.8992117 38.09119559999487\,35.8265817 38.075522199992655\,35.789699199999994 38.08115309999346\,35.815753599999994 38.10851999999733\,35.8006214 38.120891099999085\,35.7698967 38.10244279999647\,35.77672309999999 38.05347059998954\,35.7616667 38.070816399991976\,35.7638817 38.04378329998815\,35.7484336 38.04071189998772\,35.7224917 38.06264829999082\,35.68999999999999 37.97364609997828\,35.6709506 37.98377529997971\,35.6047461 37.96803169997748\,35.5756911 37.94142309997376\,35.5972875 37.86014669996241\,35.6235522 37.84083219995971\,35.6037414 37.801778899954314\,35.5788414 37.7887455999525\,35.5187469 37.8010113999542\,35.5299356 37.77613029995076\,35.51280469999999 37.71831859994279\,35.48245969999999 37.70795779994136\,35.474386900000006 37.72417209994359\,35.405102199999995 37.6914407999391\,35.3111078 37.717551399942685\,35.0910019 37.64958809993338\,35.05270999999999 37.650026899933444\,34.9365085 37.693645899939405\,34.879552499999996 37.68197089993781\,34.8476525 37.60870169992781\,34.8695169 37.56082599992132\,34.84746729999999 37.53955679991848\,34.8320547 37.48229849991077\,34.8020667 37.4660783999086\,34.79716100000001 37.431552599904\,34.7696835 37.41396279990166\,34.7875428 37.375810899896614\,34.7787786 37.33086869989071\,34.8174441 37.309002699887834\,34.9349448 37.29184339988557\,34.9745713 37.26766789988243\,34.9623193 37.21888069987611\,34.9308191 37.19856859987349\,35.0118598 37.064788699856436\,35.0814782 37.0646131998564\,35.081038299999996 37.05083359985468\,35.1225013 37.04065079985341\,35.120787099999994 36.98484349984642\,35.0882077 36.96703799984421\,35.1200294 36.941351499841026\,35.1307904 36.90764849983688\,35.1453388 36.91020919983719\,35.1371361 36.8620979998313\,35.1516494 36.857938499830794\,35.124418199999994 36.82236289982648\,35.147074599999996 36.79905199982368\,35.137382 36.78165459982158\,35.07384569999999 36.79858079982361\,35.0421742 36.76424319981949\,35.0266818 36.77837199982118\,35.025566 36.75691989981861\,35.005267 36.76792179981993\,35.0084886 36.75118079981794\,34.98157330000001 36.76075359981908\,34.9579206 36.74126629981675\,34.9271477 36.74510709981721\,34.7392967 36.57399999979718))"
ADB,Adnan Menderes,İzmir,İzmir,POINT(27.14 38.42),"POLYGON((26.1707911 38.26179070001917\,26.2007991 38.19131230000909\,26.3482537 38.14788970000291\,26.384183599999997 38.11700169999853\,26.433894399999996 38.1047292999968\,26.5021545 38.048822999988886\,26.572556599999995 38.026168999985686\,26.6338906 38.028159599985955\,26.6867607 38.05637359998995\,26.7127487 38.10008749999613\,26.7454819 38.082422899993624\,26.780364499999997 37.985859399979994\,26.833083 37.95154779997518\,26.911129000000003 37.9452497999743\,26.9722833 37.984658699979825\,27.020292399999995 37.94715049997456\,27.119637499999996 37.907245699968975\,27.267894699999996 37.9237870999713\,27.3169015 37.87220989996408\,27.3786807 37.878122299964915\,27.391689399999997 37.85102669996114\,27.374373100000003 37.837733599959286\,27.389738499999996 37.815230499956165\,27.440558099999997 37.83865669995942\,27.425651499999997 37.87725849996481\,27.459175699999996 37.89629609996745\,27.456023 37.92648639997167\,27.5020505 37.9374905999732\,27.473190999999996 37.96651389997728\,27.524041699999998 38.00777419998308\,27.622302699999995 38.007462099983044\,27.6226893 37.972298299978085\,27.652982199999997 37.96248009997671\,27.6940007 37.982425599979514\,27.7332044 37.98122139997935\,27.7553487 37.94916809997484\,27.7782435 37.97518019997849\,27.8135847 37.96277459997676\,27.843073400000005 37.97841229997894\,27.856132899999995 37.97042209997784\,27.8796 38.01231439998372\,27.906219199999995 38.014913799984086\,27.900342 37.993313099981044\,27.965893799999996 37.999411699981906\,28.0073733 37.96578339997718\,28.051584499999997 38.03896439998748\,28.141419199999998 38.02245439998515\,28.158152100000002 38.04927389998895\,28.279297 38.03321539998668\,28.309756399999998 38.05478469998972\,28.301168799999996 38.077958699993\,28.331785999999997 38.10101589999628\,28.329443299999998 38.10982219999751\,28.331159899999996 38.113333899998004\,28.330124600000005 38.11939449999887\,28.3305636 38.12175439999921\,28.3316529 38.122247499999276\,28.366029299999997 38.12929520000028\,28.3754405 38.10781139999723\,28.4360706 38.08772669999438\,28.4684354 38.104144899996705\,28.485067699999995 38.12259489999933\,28.433419199999996 38.17576050000689\,28.486282999999997 38.19689930000988\,28.493075399999995 38.22816120001436\,28.4657901 38.25939990001882\,28.405221599999997 38.267250100019936\,28.373502599999995 38.25529140001823\,28.379487999999995 38.26802210002007\,28.356534 38.298065500024364\,28.3129178 38.32219360002782\,28.2839907 38.31170500002633\,28.233778499999996 38.32976240002892\,28.2108103 38.313258000026536\,28.211865599999996 38.340299300030416\,28.1890301 38.36883660003452\,28.143407999999997 38.36162590003349\,28.083017699999996 38.40690700003999\,27.9706096 38.376948400035694\,27.9098629 38.41857450004167\,27.866456499999998 38.38163280003635\,27.888390199999996 38.33968720003034\,27.858880799999998 38.308021500025795\,27.817869599999998 38.30668780002559\,27.7962213 38.338793700030195\,27.755034799999997 38.32869780002875\,27.735710799999996 38.362726300033636\,27.7091809 38.36541520003403\,27.717104399999997 38.386050000036995\,27.700128 38.45008410004621\,27.6189045 38.50483120005412\,27.5936192 38.471440400049296\,27.547800000000002 38.45360000004674\,27.4511 38.54900000006051\,27.3956 38.55960000006205\,27.350375399999997 38.53399250005834\,27.242993600000002 38.575703600064365\,27.227755099999996 38.64084770007381\,27.2399461 38.649585400075075\,27.202631499999995 38.681932200079764\,27.2230344 38.69034800008098\,27.2235417 38.71176830008409\,27.148450599999997 38.74379140008873\,27.112712799999997 38.80021950009693\,27.1845645 38.821178200099965\,27.158723499999997 38.8530729001046\,27.168669100000002 38.874371200107674\,27.1885643 38.880310600108565\,27.224458999999996 38.85183220010441\,27.2304303 38.903185400111866\,27.2664142 38.90352440011192\,27.273430799999996 38.92210730011461\,27.3012936 38.92809190011548\,27.3177489 38.91080010011297\,27.3337805 38.917144800113896\,27.3462587 38.95125570011884\,27.393894 38.942838500117624\,27.402246999999996 38.922933900114735\,27.454836299999997 38.93020750011578\,27.472035799999997 38.94972670011862\,27.4690604 38.99050340012453\,27.5309443 39.032494400130616\,27.5518656 39.017324800128414\,27.563849699999995 39.026026900129686\,27.4950242 39.11628510014274\,27.5054364 39.130607700144814\,27.439298599999997 39.15771890014872\,27.4550915 39.172874900150916\,27.448525399999998 39.18555790015275\,27.479574699999997 39.199876600154816\,27.469627299999996 39.22396880015828\,27.480432999999998 39.268078600164635\,27.463513600000002 39.30688270017021\,27.4078953 39.32879540017335\,27.4019283 39.37055340017933\,27.376532399999995 39.38548720018147\,27.2936547 39.376539800180176\,27.2248119 39.339870400174945\,27.217673699999995 39.36803060017896\,27.178326299999995 39.3793937001806\,27.105803900000005 39.365213100178565\,27.066493 39.3243388001727\,27.0108813 39.308600900170454\,27.0164752 39.292378300168124\,26.9988262 39.27464020016557\,26.9772421 39.291584400168006\,26.9315457 39.29160610016802\,26.878586499999997 39.23610560016003\,26.8307483 39.234006700159725\,26.768631299999996 39.16669130015002\,26.687635599999997 39.11979150014326\,26.734347899999996 39.093124300139394\,26.708643999999996 39.06495180013532\,26.697233699999998 39.008516400127135\,26.7078548 38.90241710011177\,26.778716499999998 38.831658200101494\,26.669203199999995 38.79639400009637\,26.619834999999995 38.75003340008965\,26.607594499999998 38.6986544000822\,26.5564637 38.735428400087535\,26.42124 38.75839640009085\,26.2842943 38.70985230008382\,26.2576131 38.66544350007738\,26.2548182 38.61205560006963\,26.3235644 38.5393371000591\,26.343499799999996 38.492498100052345\,26.3027068 38.460335000047706\,26.230271899999998 38.436064600044205\,26.2119777 38.38715900003715\,26.2206589 38.345624800031175\,26.191009999999995 38.31884820002734\,26.1707911 38.26179070001917))"
ADD,Bole Int'l,አዲስ አበባ / Addis Ababa,Addis Ababa,POINT(38.74 9.03),"POLYGON((38.639903999999994 8.973952499400797\,38.67977659999999 8.958348699400435\,38.6828343 8.94012309940002\,38.7434865 8.900893199399164\,38.74697669999999 8.863805299398386\,38.7753571 8.859901899398308\,38.782780699999996 8.835269399397818\,38.8003737 8.833114899397772\,38.82585209999999 8.841713899397943\,38.826384 8.880714299398736\,38.8714051 8.874010499398599\,38.880906200000005 8.918695799399547\,38.8570143 8.938674399399988\,38.8990627 8.935653599399924\,38.9080529 8.998973499401385\,38.87680399999999 9.083910599403506\,38.7948704 9.072198599403206\,38.7666733 9.098531699403894\,38.68576689999999 9.073271999403234\,38.669410899999995 9.011347099401682\,38.6520088 9.008720399401618\,38.6578671 8.977434099400876\,38.639903999999994 8.973952499400797))"
ADE,Aden Int'l,مديرية خور مكسر,Aden,POINT(45.0333 12.8),"POLYGON((45.0012623 12.843284899662804\,45.0236543 12.811123999659472\,45.016796299999996 12.810002299659354\,45.015788 12.800486599658374\,45.023934499999996 12.810108299659364\,45.040275 12.790122299657304\,45.09812590000001 12.940682899672979\,45.0448393 12.939907699672894\,45.03189679999999 12.843304799662807\,45.0012623 12.843284899662804))"
