@timestamp:date,level:keyword,msg:keyword,service:keyword
2026-01-05T08:00:00.000Z,INFO,User login succeeded,auth-api
2026-01-05T08:05:00.000Z,ERROR,Login failed,auth-api
2026-01-05T08:10:00.000Z,INFO,Order created,orders-api
2026-01-05T08:15:00.000Z,INFO,Order updated,orders-api
2026-01-05T08:20:00.000Z,INFO,Order cancelled,orders-api
2026-01-05T08:25:00.000Z,WARN,Stock low,orders-api
2026-01-05T08:30:00.000Z,ERROR,Payment processing failed,orders-api
2026-01-05T08:35:00.000Z,INFO,Invoice sent,billing-api
2026-01-05T08:40:00.000Z,INFO,Tax computed,billing-api
2026-01-05T08:45:00.000Z,ERROR,Refund failed,billing-api
2026-01-06T08:00:00.000Z,INFO,User login succeeded,auth-api
2026-01-06T08:05:00.000Z,ERROR,Login failed,auth-api
2026-01-06T08:10:00.000Z,INFO,Order created,orders-api
2026-01-06T08:15:00.000Z,INFO,Order updated,orders-api
2026-01-06T08:20:00.000Z,INFO,Order cancelled,orders-api
2026-01-06T08:25:00.000Z,WARN,Stock low,orders-api
2026-01-06T08:30:00.000Z,ERROR,Payment processing failed,orders-api
2026-01-06T08:35:00.000Z,INFO,Invoice sent,billing-api
2026-01-06T08:40:00.000Z,INFO,Tax computed,billing-api
2026-01-06T08:45:00.000Z,ERROR,Refund failed,billing-api
2026-01-07T08:00:00.000Z,INFO,User login succeeded,auth-api
2026-01-07T08:05:00.000Z,ERROR,Login failed,auth-api
2026-01-07T08:10:00.000Z,INFO,Order created,orders-api
2026-01-07T08:15:00.000Z,INFO,Order updated,orders-api
2026-01-07T08:20:00.000Z,INFO,Order cancelled,orders-api
2026-01-07T08:25:00.000Z,WARN,Stock low,orders-api
2026-01-07T08:30:00.000Z,ERROR,Payment processing failed,orders-api
2026-01-07T08:35:00.000Z,INFO,Invoice sent,billing-api
2026-01-07T08:40:00.000Z,INFO,Tax computed,billing-api
2026-01-07T08:45:00.000Z,ERROR,Refund failed,billing-api
